Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-07T13:29:37.369Z","Included","auto","No","10698","0","67072","2227","79997","0.04"
"2026-02-04T20:03:00.404Z","Included","auto","No","2238","0","44032","394","46664","0.02"
"2026-02-04T19:21:37.803Z","Included","auto","No","36394","0","225280","3573","265247","0.12"
"2026-02-04T19:20:35.049Z","Included","auto","No","9260","0","71680","1315","82255","0.04"
"2026-02-02T13:44:51.919Z","On-Demand","accounts/fireworks/models/kimi-k2-instruct-0905","No","8625329","0","0","17548","8642877","5.22"
"2026-02-02T13:40:54.763Z","User API Key","grok-code-fast-1","No","0","0","0","0","0","0.00"
"2026-02-02T13:35:46.590Z","Included","auto","No","38896","0","210432","5291","254619","0.13"
"2026-02-02T06:12:42.580Z","Included","auto","No","27133","11820","225790","5710","270453","0.14"
"2026-02-02T06:10:39.274Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","170111","48634","1126672","36859","1382276","0.00"
"2026-02-01T22:05:19.864Z","Included","auto","No","32316","0","355665","9298","397279","0.19"
"2026-02-01T21:54:53.364Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","318633","124301","2583094","47767","3073795","0.00"
"2026-02-01T21:54:03.382Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","3489","7","143099","2181","148776","0.00"
"2026-02-01T21:52:58.701Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","17619","13","702612","2422","722666","0.00"
"2026-02-01T21:48:20.909Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","22490","19","790468","4509","817486","0.00"
"2026-02-01T21:43:15.347Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","235661","34","755269","2833","993797","0.00"
"2026-02-01T21:35:12.385Z","Included","auto","No","42296","0","457175","3766","503237","0.19"
"2026-02-01T11:36:05.819Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","115574","9","0","3969","119552","0.00"
"2026-01-31T20:31:14.039Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","92884","13","453975","1120","547992","0.00"
"2026-01-31T20:29:41.558Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","191192","21","856062","2026","1049301","0.00"
"2026-01-31T19:42:15.919Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","2249","10","97633","1869","101761","0.00"
"2026-01-31T19:38:23.156Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","97633","10","0","3020","100663","0.00"
"2026-01-31T18:03:15.982Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","86383","10","0","2064","88457","0.00"
"2026-01-31T17:27:16.748Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","290174","130251","749168","22046","1191639","0.00"
"2026-01-31T17:22:29.550Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","154244","127386","0","11203","292833","0.00"
"2026-01-31T17:15:31.737Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","133033","10","18268","2020","153331","0.00"
"2026-01-31T17:08:47.272Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","101892","15","2168383","12517","2282807","0.00"
"2026-01-31T17:06:27.090Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","98138","10","0","2175","100323","0.00"
"2026-01-31T16:54:11.998Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","138109","43","1333520","19031","1490703","0.00"
"2026-01-31T16:47:21.967Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","50819","31","236439","6798","294087","0.00"
"2026-01-31T16:46:41.727Z","User API Key","eu.anthropic.claude-opus-4-5-20251101-v1:0","No","53057","3","0","275","53335","0.00"
"2026-01-31T16:42:14.503Z","User API Key","eu.anthropic.claude-sonnet-4-5-20250929-v1:0","No","2047","9","48297","2901","53254","0.00"
